title,published_at,LDA_topic,LDA_score
The 10 MLB trends that ruled the first half -- and whether they'll continue,2025-07-17 16:53:46,3,0.8802688914262644
Morning Bid: Markets calm down after Powell poser,2025-07-17 16:53:28,1,0.8685796756978317
GE Aerospace Raises Full-Year Guidance on Aviation Rebound,2025-07-17 16:44:45,1,0.9031166441483556
GE Aerospace raises full-year guidance on aviation rebound,2025-07-17 16:44:45,1,0.9031166441483556
"Trump Hates Electric Cars, So They Are Very Cheap — at Least for Now",2025-07-17 16:30:50,3,0.8476353310903106
Los Angeles Lakers Get Concerning Luka Doncic Update,2025-07-17 16:30:01,2,0.913476132784851
Tipsheet: Diamondbacks host Cardinals ahead of likely talent selloff,2025-07-17 16:30:00,1,0.9040563591117228
"With so many lives on the line, what did the EU actually get out of its Gaza aid deal with Israel?",2025-07-17 16:27:00,2,0.8909938977732066
Links 7/17/2025,2025-07-17 16:25:15,3,0.6528541026684125
Lower tariffs open up chance to double exports to US: Kadin,2025-07-17 16:22:48,2,0.9049600789814098
Jaguar Land Rover to cut up to 500 jobs,2025-07-17 16:19:03,2,0.8867534118156828
"Stock markets close lower on selling in IT stocks, fresh foreign fund outflows",2025-07-17 16:17:46,2,0.5764045291336292
"[Damaged box] UPPAbaby Vista V3 $1399, Vista with Bassinet $1649, Cruz V2 $799 Delivered @ UPPAbaby",2025-07-17 15:27:38,3,0.916291538748871
How to Stain Kitchen Cabinets and Refresh Your Space,2025-07-17 16:12:10,1,0.888242087253083
"Sensex settles 375 pts lower, Nifty below 25,120 led by losses in IT, bank stocks",2025-07-17 16:12:04,3,0.922083218631055
The top 10 cornerbacks ahead of 2025 NFL season: Who is ranked after Pat Surtain II?,2025-07-17 16:05:54,2,0.9016612455085442
Rupee slips 15 paise to close at 86.07 against US dollar,2025-07-17 16:03:53,2,0.8827097033946004
"India should keep buying Russian oil despite US pressure, says GTRI",2025-07-17 16:02:54,3,0.898908515618551
"Japan holds US tariff talks with Lutnick, eyes meeting with Bessent",2025-07-17 15:42:57,3,0.9022051133400555
Grattan on Friday: New parliament presents traps for Albanese and Ley,2025-07-17 15:40:50,1,0.9145930668035749
Vietnam Says Negotiators Still Working With US on Trade Deal,2025-07-17 15:37:14,2,0.9011068659859913
Boffins detail new algorithms to losslessly boost AI perf by up to 2.8x,2025-07-17 15:33:09,1,0.9094270826767331
"U.S.-Canada trade talks back underway as Trump’s wish list, from oil to DEI, keeps growing",2025-07-17 15:30:58,3,0.5607085370632509
"A Man, a Plan, and a Long History of Overplayed Hands",2025-07-17 15:30:55,1,0.8585335753421813
Here Are This Week’s Best Canadian Cellphone Deals (July 16),2025-07-17 15:30:48,3,0.5095434737639251
"American firms in China report record-low new investment plans for 2025, and doubts about their profitability",2025-07-17 15:14:41,1,0.9298694367857133
India’s trade pact with Asean is becoming a casualty of Trump’s tariffs,2025-07-17 15:00:14,3,0.8743709017646114
Jaguar Land Rover to cut up to 500 management jobs,2025-07-17 14:46:31,2,0.9012756922671549
New US tariff momentum for industry growth: Minister,2025-07-17 14:37:10,3,0.6769679891377509
S&P downgrades Nippon Steel to 'BBB' on debt strain from US Steel deal,2025-07-17 14:31:16,2,0.916150280403211
Trump's Tariffs Explained as US Inflation Picks Up Steam Once Again,2025-07-17 14:30:00,2,0.8870035602376197
S&P downgrades Nippon Steel to 'BBB' on debt strain from US Steel deal,2025-07-17 14:24:38,2,0.916150280403211
EU eyes 3rd retaliatory strike against Trump that would hit services,2025-07-17 14:18:53,2,0.9138171650710394
"Synopsys CEO Sassine Ghazi took us inside his $35 billion acquisition of Ansys, which closes today",2025-07-17 14:17:59,2,0.9377283219366765
Jaguar Land Rover to cut up to 500 jobs,2025-07-17 14:16:38,2,0.8867534118156828
India should negotiate trade agreement with US on its own term: EAC-PM chief S Mahendra Dev,2025-07-17 14:16:29,3,0.9060241521591477
Samsung boss Lee Jae-yong cleared of fraud by South Korea's top court,2025-07-17 14:12:20,3,0.9113586752509096
"Trump on tariffs: We are very close to an agreement with India, the EU may follow",2025-07-17 14:10:22,2,0.8852406071359143
Trump thinks China will sentence fentanyl traffickers to death,2025-07-17 14:02:09,1,0.7838862950589234
