title,published_at,NMF_topic,NMF_score
The 10 MLB trends that ruled the first half -- and whether they'll continue,2025-07-17 16:53:46,2,0.04637610367922565
Morning Bid: Markets calm down after Powell poser,2025-07-17 16:53:28,2,0.004226144990618922
GE Aerospace Raises Full-Year Guidance on Aviation Rebound,2025-07-17 16:44:45,1,0.002716573918930592
GE Aerospace raises full-year guidance on aviation rebound,2025-07-17 16:44:45,1,0.002716573918930592
"Trump Hates Electric Cars, So They Are Very Cheap — at Least for Now",2025-07-17 16:30:50,1,0.05687384677494912
Los Angeles Lakers Get Concerning Luka Doncic Update,2025-07-17 16:30:01,2,0.029885607579990876
Tipsheet: Diamondbacks host Cardinals ahead of likely talent selloff,2025-07-17 16:30:00,2,0.0441940541473588
"With so many lives on the line, what did the EU actually get out of its Gaza aid deal with Israel?",2025-07-17 16:27:00,1,0.062296753904531786
Links 7/17/2025,2025-07-17 16:25:15,2,0.00046760841169032696
Lower tariffs open up chance to double exports to US: Kadin,2025-07-17 16:22:48,1,0.022094348931247138
Jaguar Land Rover to cut up to 500 jobs,2025-07-17 16:19:03,2,0.02416060426477472
"Stock markets close lower on selling in IT stocks, fresh foreign fund outflows",2025-07-17 16:17:46,3,0.08215867403042179
"[Damaged box] UPPAbaby Vista V3 $1399, Vista with Bassinet $1649, Cruz V2 $799 Delivered @ UPPAbaby",2025-07-17 15:27:38,3,7.211999767243027e-33
How to Stain Kitchen Cabinets and Refresh Your Space,2025-07-17 16:12:10,3,7.574921468584689e-33
"Sensex settles 375 pts lower, Nifty below 25,120 led by losses in IT, bank stocks",2025-07-17 16:12:04,1,0.006610157268048185
The top 10 cornerbacks ahead of 2025 NFL season: Who is ranked after Pat Surtain II?,2025-07-17 16:05:54,2,0.025129224615185505
Rupee slips 15 paise to close at 86.07 against US dollar,2025-07-17 16:03:53,1,0.01464804025452928
"India should keep buying Russian oil despite US pressure, says GTRI",2025-07-17 16:02:54,1,0.03886058348498617
"Japan holds US tariff talks with Lutnick, eyes meeting with Bessent",2025-07-17 15:42:57,1,0.07508468564713815
Grattan on Friday: New parliament presents traps for Albanese and Ley,2025-07-17 15:40:50,2,0.01358826455441572
Vietnam Says Negotiators Still Working With US on Trade Deal,2025-07-17 15:37:14,1,0.1079350381826866
Boffins detail new algorithms to losslessly boost AI perf by up to 2.8x,2025-07-17 15:33:09,2,0.015912576447105302
"U.S.-Canada trade talks back underway as Trump’s wish list, from oil to DEI, keeps growing",2025-07-17 15:30:58,2,0.062210906882869094
"A Man, a Plan, and a Long History of Overplayed Hands",2025-07-17 15:30:55,2,0.0015476516248763724
Here Are This Week’s Best Canadian Cellphone Deals (July 16),2025-07-17 15:30:48,2,0.029273528026834854
"American firms in China report record-low new investment plans for 2025, and doubts about their profitability",2025-07-17 15:14:41,2,0.05145182074822969
India’s trade pact with Asean is becoming a casualty of Trump’s tariffs,2025-07-17 15:00:14,2,0.0606893871327564
Jaguar Land Rover to cut up to 500 management jobs,2025-07-17 14:46:31,2,0.02183647331904313
New US tariff momentum for industry growth: Minister,2025-07-17 14:37:10,1,0.0366157115630819
S&P downgrades Nippon Steel to 'BBB' on debt strain from US Steel deal,2025-07-17 14:31:16,1,0.04060271509181452
Trump's Tariffs Explained as US Inflation Picks Up Steam Once Again,2025-07-17 14:30:00,1,0.016816872305434133
S&P downgrades Nippon Steel to 'BBB' on debt strain from US Steel deal,2025-07-17 14:24:38,1,0.04060271509181452
EU eyes 3rd retaliatory strike against Trump that would hit services,2025-07-17 14:18:53,1,0.062401587460797235
"Synopsys CEO Sassine Ghazi took us inside his $35 billion acquisition of Ansys, which closes today",2025-07-17 14:17:59,1,0.005350350023699857
Jaguar Land Rover to cut up to 500 jobs,2025-07-17 14:16:38,2,0.02416060426477472
India should negotiate trade agreement with US on its own term: EAC-PM chief S Mahendra Dev,2025-07-17 14:16:29,2,0.05217090665550101
Samsung boss Lee Jae-yong cleared of fraud by South Korea's top court,2025-07-17 14:12:20,2,0.0032818871087192713
"Trump on tariffs: We are very close to an agreement with India, the EU may follow",2025-07-17 14:10:22,1,0.10120209305769672
Trump thinks China will sentence fentanyl traffickers to death,2025-07-17 14:02:09,1,0.04606297859544288
Wall Street Banks Miss Out on Millions in Fees as Seven & i Deal Collapses,2025-07-17 13:57:58,1,0.03844414250681789
Markets extend morning losses in afternoon trade amid US-India trade deal uncertainty,2025-07-17 13:52:14,2,0.09369266874466282
NATO state urges Trump to sanction Russia immediately,2025-07-17 13:50:31,1,0.053721858718952964
Trade deal cliffhanger keeps businesses on edge,2025-07-17 13:35:52,1,0.06568561884203152
Summer is peak quitting season. Turnover is highest in these industries.,2025-07-17 13:33:01,2,0.0032112356051976518
"Indonesia to Continue Talks on Jets, Minerals After Tariffs Deal",2025-07-17 13:27:36,1,0.13524252245748927
Starmer Humiliated After Jaguar Land Rover Slashes 500 Jobs,2025-07-17 13:27:09,2,0.012396681522921634
"Indonesia to Continue Talks on Jets, Minerals After Tariffs Deal",2025-07-17 13:24:41,1,0.13524252245748927
Brussels stalls probe into Elon Musk’s X amid US trade talks,2025-07-17 13:16:31,2,0.07424950120795654
European shares rise after four-day drop as ABB shines,2025-07-17 13:11:54,1,0.0013872398406977091
Jaguar Land Rover to cut hundreds of UK jobs,2025-07-17 12:58:00,2,0.022377395302633475
House Clears Key Crypto Bills for Final Vote After Record 9-Hour Standoff,2025-07-17 11:10:50,2,0.006104592826971589
I replaced my boring bookshelf speakers with these slick wireless ones - and I highly recommend them,2025-07-17 12:55:11,2,5.317282069693415e-05
Trump says India and US very close to finalising trade deal,2025-07-17 12:48:24,1,0.19447698449754028
Trump says India and US very close to finalising trade deal,2025-07-17 12:48:21,1,0.19447698449754028
U.S. to impose uniform tariff rate on over 150 economies: Trump,2025-07-17 12:46:28,1,0.10114284879803347
Japan racks up trade deficit amid threat from Trump's tariffs,2025-07-17 12:44:18,2,0.062201348871013216
How could Japan's election affect economic policy?,2025-07-17 12:43:38,1,0.001988366659923201
Japanese car exports to US dive in June as tariffs bite,2025-07-17 12:40:53,1,0.01791016825115738
Trump’s fab plan to let Nvidia chip into China again hides a ‘rare’ agenda,2025-07-17 12:30:35,2,0.013282117590549255
15 Eagles veterans on roster bubble as 2025 training camp nears,2025-07-17 12:30:00,2,0.019992955827358806
Trump softening on China – Bloomberg,2025-07-17 12:22:10,1,0.0675385674256323
Priority Bruzer Review: $2499 Pinion Gearbox Bike With Belt Drive!,2025-07-17 12:19:05,3,8.192152129233844e-33
